timestamp,squat_count,knee_angle_L,knee_angle_R,back_angle,depth_ok,form_ml
1758996836.652725,0,179.6345311260077,177.35433716323098,175.07321011083857,0,
1758996836.816933,0,178.24198629619198,173.35908156329077,178.6284860293752,0,
1758996836.8976805,0,176.75115889914807,171.37624425054733,175.1656885389776,0,
1758996836.980555,0,177.10622464375925,170.4168485865908,175.59491205135782,0,
1758996837.0657105,0,175.88468379130202,170.92014072221258,175.3081020409054,0,
1758996837.1542573,0,176.07653793454068,169.71473436196834,175.5743970802774,0,
1758996837.2379081,0,174.94233991575015,168.13914783371158,174.83326927604318,0,
1758996837.303073,0,174.57010813742113,169.43094908277408,175.7570097318632,0,
1758996837.382245,0,172.9636888042318,168.8703465370606,175.8792227026418,0,
1758996837.4659915,0,172.79338705752198,167.8745120460018,171.54244465923742,0,
1758996837.5502691,0,173.99903465834518,169.78993244702767,173.45064348138465,0,
1758996837.6305823,0,174.3889789633909,169.75083919907672,173.9976317202564,0,
1758996837.7151937,0,175.48119961469615,169.34232509286082,175.0510949889461,0,
1758996837.7871616,0,175.59072696800666,169.8596351643702,175.14595402039106,0,
1758996837.8499966,0,177.2875620229115,171.02490206378764,175.20482281801594,0,
1758996837.9339106,0,176.32152999794795,172.62371894465534,177.39615037369848,0,
1758996838.0073402,0,175.66335884953614,172.25651953098716,177.63334833306826,0,
1758996838.0794485,0,176.62726448437132,175.0706236319019,179.06179764514746,0,
1758996838.1825216,0,176.46095293757716,172.50758052546394,179.0763367177498,0,
1758996838.2701156,0,177.84134458973284,172.35678951416284,178.71577395284842,0,
1758996838.337919,0,179.0608663914001,173.2961399766805,178.15225000495883,0,
1758996838.4031768,0,179.91883932327187,172.20865037142684,178.85780522179664,0,
1758996838.471275,0,176.93383230518526,171.20505442986314,178.29063448597054,0,
1758996838.537531,0,176.48561047008062,171.2333322889613,177.85557048584636,0,
1758996838.6028202,0,176.7446263841833,172.0898733215251,177.81914767207923,0,
1758996838.6731484,0,176.56191644795857,171.04651708701402,177.34450034051673,0,
1758996838.743203,0,176.8996222824686,171.09102809624807,178.94222805556424,0,
1758996838.8216074,0,172.57890248841687,164.93081767723788,177.00991370346262,0,
1758996838.9393423,0,172.36166432990473,164.0989628073909,175.57909527553565,0,
1758996839.0469067,0,171.1519455161573,161.80074509978135,175.33044897527822,0,
1758996839.1361232,0,174.25033712554284,164.4148401502963,176.85413419268787,0,
1758996839.2104833,0,175.96571791874229,166.40988738473098,176.85072862102356,0,
1758996839.279763,0,175.27649554077655,170.2526369995704,176.12242345179465,0,
1758996839.3490562,0,177.16634751744058,170.57760860079296,176.86520735924458,0,
1758996839.4239328,0,176.59391188902399,169.56807072272284,175.9083095409966,0,
1758996839.498306,0,175.54772543121098,170.55280263857233,175.71464487732814,0,
1758996839.5710046,0,174.58726475720292,169.41285707599064,175.20790037185225,0,
1758996839.6389775,0,173.62546315130922,166.92306666830652,173.64817109646054,0,
1758996839.704414,0,175.2356352175576,167.2100802779349,173.69064978227425,0,
1758996839.777765,0,174.0962364782661,167.13958208261562,174.50889169833826,0,
1758996839.8554688,0,177.4567327040269,171.9372829530277,177.35688786022496,0,
1758996839.9514022,0,174.82499899515568,166.2858568020389,176.9202317817323,0,
1758996840.154361,0,174.45423605071443,164.17176070688214,176.86769905241388,0,
1758996840.7691948,0,173.2531125627982,160.49137806146447,177.89820413161019,0,
1758996840.9237566,0,170.4603732595585,158.4291251088689,177.0936391220031,0,
1758996841.02337,0,170.8443998829246,159.35492806621352,177.6430624574327,0,
1758996841.0937166,0,170.802226260594,157.97703153770357,177.53172238750878,0,
